Gene,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
RGL4,8.454808497,8.019388907,8.990836345,9.718631131,7.908074587,4.147050991,4.985083787,4.57671087,4.930349329,4.293699598
MPP7,8.690519642,8.630346238,7.080872703,9.838475522,8.271824038,5.179199994,5.20086806,3.266992739,5.56522634,4.300308766
UGCG,8.648365501,8.600555354,9.431045688,7.923020562,8.309213794,4.902510144,5.750804266,4.492856299,4.659987011,3.306275424
CYSTM1,8.628883627,9.238677081,8.487243058,8.958537351,7.35710866,4.541604775,6.370532949,4.246650665,4.745768992,3.449626882
ANXA2,4.983768886,6.748021531,6.22079149,4.719403432,3.284345911,8.089849804,10.63747203,7.214911674,9.002710348,5.12335893
ENDOD1,5.551639719,5.406464999,4.663784746,3.550765405,4.103506712,8.393990714,9.538503099,9.06992267,8.639664402,7.106391575
ARHGAP24,6.890079479,8.883941099,9.560650816,8.285673685,9.043751557,3.544009978,4.919182637,4.664793666,4.410468359,5.822082766
CST7,7.883061275,8.546584568,8.364553131,9.54011012,8.69747335,3.557674338,4.453887308,4.203405209,5.06508165,5.712803093
HIST1H2BM,6.18690843,4.4488033,5.428770812,6.747681482,2.57757949,7.828232763,6.517819482,10.20686832,9.345190217,6.736779744
EREG,8.598145058,4.920183561,9.22764453,5.222157127,4.68984964,8.703616836,8.657713529,7.820688264,2.943618033,5.241017461
EMP1,4.837475434,5.999576417,6.115168425,5.056323015,4.808929654,6.713164014,12.18930654,6.310853098,8.391136991,5.602700457
NFAM1,8.65629019,9.957289007,7.319900294,8.073513984,9.016657667,4.517623152,4.722709584,3.961950715,4.440519757,5.358179692
SLC40A1,9.52082185,4.630086068,5.11648649,9.346002833,9.813191555,6.101415747,4.186182287,4.1986391,7.193107863,5.918700249
CD52,4.230927183,5.932495709,5.011897812,5.101308396,4.398327084,6.380093554,8.984662724,10.234718,9.800304561,5.949899014
HIST1H2BH,5.805177087,4.343196988,6.13937959,5.817530254,2.513284247,8.188458184,7.126535671,10.40428574,8.873457973,6.81332831
PFKFB3,7.424256728,9.676784864,8.935155595,8.045832949,8.89068984,4.273863932,6.238450226,4.099110774,4.189283574,4.251205557
SNORD116-20,8.377057943,5.359552833,8.694841287,8.044566874,2.953568193,7.268418563,6.682020998,8.318052391,7.830180119,2.496374839
STX11,8.33848787,8.565954357,8.767868208,9.403257032,7.892701904,4.205834876,6.565666292,3.931023597,5.050443185,3.303396719
SYNE2,9.110726113,9.678361346,8.405611737,6.946242207,8.156072839,5.791007011,6.837267408,3.722293689,3.640645743,3.736405947
TCN1,8.193179393,8.907284883,8.71384756,8.98092756,7.627557884,4.626609398,7.354054704,3.26529168,5.108398324,3.247482655
